body_temperature,heart_rate,respiration_rate,activity_level,feeding_frequency,environment_temp,vocalization_freq,stress_level
38.74835707650561,70,33,0.5889818435891958,2,25.382060069485753,4,1
38.430867849414405,92,32,0.14347724429784026,4,32.27206263116395,1,1
38.82384426905035,73,15,0.4044831451977754,3,18.52410256505358,1,0
39.261514928204015,77,27,0.033240324986610115,1,37.085297006165234,2,1
38.38292331263833,96,25,0.21662808758268048,1,15.119292460754444,5,1
38.38293152152541,43,12,0.07486862942267469,1,39.47367383259665,2,1
39.289606407753695,41,15,0.38777881950723136,2,19.191137009077355,3,0
38.883717364576455,51,21,0.8430351646384902,2,33.55278396534706,7,1
38.26526280703252,74,22,0.3779341063450531,2,15.998117676079014,4,1
38.77128002179298,109,18,0.8316396259946434,2,25.785722476077318,3,0
38.26829115359377,111,15,0.6564983125788874,3,30.757842057853438,2,1
38.26713512321487,60,12,0.5095294466308278,4,16.7556864398271,3,0
38.62098113578302,100,12,0.23689169326133053,1,26.082338222498095,4,0
37.5433598776711,74,28,0.9221560928441523,4,22.578410077755564,1,0
37.637541083743486,87,21,0.054200808842033266,1,27.45609029917982,2,0
38.21885623537951,54,16,0.6889130176988153,1,27.614413399228702,1,0
37.99358443983279,110,18,0.6212398928093689,1,34.63079014605772,3,1
38.657123666297636,54,19,0.4410415222565268,1,18.08761321112244,4,0
38.045987962239394,45,13,0.24032095529260533,3,17.06799002618666,4,0
37.793848149332355,107,20,0.43069593684526686,3,25.04725583096977,5,1
39.23282438446078,61,15,0.8727727255534207,1,37.187997984413315,3,1
38.387111849756735,71,23,0.8367661102549542,1,36.381737991802325,3,1
38.53376410234396,61,22,0.9413812499770292,2,28.999822732035227,3,0
37.78762590689327,66,16,0.307793206625248,1,37.219345474277674,3,1
38.22780863773741,54,23,0.3871041583688729,4,35.1335899387178,2,1
38.555461294854936,83,32,0.018726152659863327,3,21.948486502326233,3,1
37.92450321128885,48,15,0.9429499947200082,4,19.25265701114575,4,0
38.68784900917284,73,24,0.32939009181726886,2,22.52891252441765,2,0
38.199680655040595,112,33,0.40416382153299324,3,20.67794696097036,1,1
